DATE,VALUE
2006-03-14,1.03961
2006-03-15,0.42698
2006-03-16,0.17728
2006-03-17,0.14709
2006-03-20,-0.16600
2006-03-21,-0.60150
2006-03-22,0.60205
2006-03-23,-0.25823
2006-03-24,0.09834
2006-03-27,-0.10284
2006-03-28,-0.64382
2006-03-29,0.74697
2006-03-30,-0.20263
2006-03-31,-0.41684
2006-04-03,0.23015
2006-04-04,0.62567
2006-04-05,0.43111
2006-04-06,-0.19214
2006-04-07,-1.03435
2006-04-10,0.08491
2006-04-11,-0.77356
2006-04-12,0.12048
2006-04-13,0.07763
2006-04-14,.
2006-04-17,.
2006-04-18,1.73652
2006-04-19,0.17436
2006-04-20,0.11680
2006-04-21,-0.01373
2006-04-24,-0.24175
2006-04-25,-0.48696
2006-04-26,0.28193
2006-04-27,0.33016
2006-04-28,0.06795
2006-05-01,-0.41355
2006-05-02,0.61447
2006-05-03,-0.40816
2006-05-04,0.33643
2006-05-05,1.02953
2006-05-08,-0.08297
2006-05-09,0.03624
2006-05-10,-0.17281
2006-05-11,-1.27981
2006-05-12,-1.12411
2006-05-15,0.25247
2006-05-16,-0.18694
2006-05-17,-1.68411
2006-05-18,-0.66991
2006-05-19,0.41369
2006-05-22,-0.39147
2006-05-23,-0.43500
2006-05-24,0.15837
2006-05-25,1.13700
2006-05-26,0.57193
2006-05-29,.
2006-05-30,.
2006-05-31,0.81360
2006-06-01,1.22983
2006-06-02,0.19522
2006-06-05,-1.77998
2006-06-06,-0.11381
2006-06-07,-0.60925
2006-06-08,0.14170
2006-06-09,-0.44756
2006-06-12,-1.26966
2006-06-13,-1.02798
2006-06-14,0.51892
2006-06-15,2.12351
2006-06-16,-0.36779
2006-06-19,-0.91088
2006-06-20,-0.00161
2006-06-21,0.97410
2006-06-22,-0.52707
2006-06-23,-0.08831
2006-06-26,0.48694
2006-06-27,-0.90839
2006-06-28,0.54874
2006-06-29,2.15650
2006-06-30,-0.20976
2006-07-03,0.78649
2006-07-04,.
2006-07-05,.
2006-07-06,0.24943
2006-07-07,-0.67500
2006-07-10,0.14698
2006-07-11,0.40873
2006-07-12,-1.09389
2006-07-13,-1.29588
2006-07-14,-0.49022
2006-07-17,-0.13833
2006-07-18,0.19198
2006-07-19,1.85551
2006-07-20,-0.84775
2006-07-21,-0.70769
2006-07-24,1.66251
2006-07-25,0.63208
2006-07-26,-0.03783
2006-07-27,-0.40997
2006-07-28,1.21517
2006-07-31,-0.14782
2006-08-01,-0.44961
2006-08-02,0.60035
2006-08-03,0.13453
2006-08-04,-0.07108
2006-08-07,-0.28061
2006-08-08,-0.33627
2006-08-09,-0.43493
2006-08-10,0.46289
2006-08-11,-0.39864
2006-08-14,0.11605
2006-08-15,1.36965
2006-08-16,0.76619
2006-08-17,0.15825
2006-08-18,0.37149
2006-08-21,-0.36704
2006-08-22,0.10019
2006-08-23,-0.44887
2006-08-24,0.23743
2006-08-25,-0.07484
2006-08-28,0.51657
2006-08-29,0.19204
2006-08-30,-0.00077
2006-08-31,-0.03450
2006-09-01,0.55146
2006-09-04,.
2006-09-05,.
2006-09-06,-0.98915
2006-09-07,-0.47990
2006-09-08,0.37866
2006-09-11,0.04773
2006-09-12,1.04422
2006-09-13,0.37773
2006-09-14,-0.13580
2006-09-15,0.27274
2006-09-18,0.09925
2006-09-19,-0.21723
2006-09-20,0.52112
2006-09-21,-0.53955
2006-09-22,-0.24658
2006-09-25,0.88152
2006-09-26,0.75168
2006-09-27,0.01871
2006-09-28,0.19153
2006-09-29,-0.24642
2006-10-02,-0.33911
2006-10-03,0.20957
2006-10-04,1.20755
2006-10-05,0.22219
2006-10-06,-0.26899
2006-10-09,0.08002
2006-10-10,0.20434
2006-10-11,-0.25639
2006-10-12,0.95411
2006-10-13,0.20472
2006-10-16,0.25117
2006-10-17,-0.36522
2006-10-18,0.14002
2006-10-19,0.07321
2006-10-20,0.11997
2006-10-23,0.61523
2006-10-24,0.02614
2006-10-25,0.35139
2006-10-26,0.49630
2006-10-27,-0.84516
2006-10-30,0.04284
2006-10-31,0.00073
2006-11-01,-0.73516
2006-11-02,-0.03436
2006-11-03,-0.22233
2006-11-06,1.13465
2006-11-07,0.22177
2006-11-08,0.20827
2006-11-09,-0.53330
2006-11-10,0.18646
2006-11-13,0.25491
2006-11-14,0.63565
2006-11-15,0.24045
2006-11-16,0.22842
2006-11-17,0.10287
2006-11-20,-0.04996
2006-11-21,0.16494
2006-11-22,0.23382
2006-11-23,.
2006-11-24,.
2006-11-27,-1.35979
2006-11-28,0.34880
2006-11-29,0.92016
2006-11-30,0.08217
2006-12-01,-0.27987
2006-12-04,0.88852
2006-12-05,0.40025
2006-12-06,-0.13147
2006-12-07,-0.39706
2006-12-08,0.18120
2006-12-11,0.22698
2006-12-12,-0.10474
2006-12-13,0.11689
2006-12-14,0.86894
2006-12-15,0.11224
2006-12-18,-0.32303
2006-12-19,0.21582
2006-12-20,-0.14170
2006-12-21,-0.36740
2006-12-22,-0.53162
2006-12-25,.
